Country,Date,Total Vaccinations
United States,12/20/2020,556208
United States,12/21/2020,614117
United States,12/23/2020,1008025
United States,12/26/2020,1944585
United States,12/28/2020,2127143
United States,12/30/2020,2794588
United States,1/2/2021,4225756
United States,1/4/2021,4563260
United States,1/5/2021,4836469
United States,1/6/2021,5306797
United States,1/7/2021,5919418
United States,1/8/2021,6688231
United States,1/11/2021,8987322
United States,1/12/2021,9327138
United States,1/13/2021,10278462
United States,1/14/2021,11148991
United States,1/15/2021,12279180
United States,1/19/2021,15707588
United States,1/20/2021,16525281
United States,1/21/2021,17546374
United States,1/22/2021,19107959
United States,1/23/2021,20537990
United States,1/24/2021,21848655
United States,1/25/2021,22734243
United States,1/26/2021,23540994
United States,1/27/2021,24652634
United States,1/28/2021,26193682
United States,1/29/2021,27884661
United States,1/30/2021,29577902
United States,1/31/2021,31123299
United States,2/1/2021,32222402
United States,2/2/2021,32780860
United States,2/3/2021,33878254
United States,2/4/2021,35203710
United States,2/5/2021,36819212
United States,2/6/2021,39037964
United States,2/7/2021,41210937
United States,2/8/2021,42417617
United States,2/9/2021,43206190
United States,2/10/2021,44769970
United States,2/11/2021,46390270
United States,2/12/2021,48410558
United States,2/13/2021,50641884
United States,2/14/2021,52884356
United States,2/16/2021,55220364
United States,2/17/2021,56281827
United States,2/18/2021,57737767
United States,2/19/2021,59585043
United States,2/20/2021,61289500
United States,2/21/2021,63090634
United States,2/22/2021,64177474
United States,2/23/2021,65032083
United States,2/24/2021,66464947
United States,2/25/2021,68274117
United States,2/26/2021,70454064
United States,2/27/2021,72806180
United States,2/28/2021,75236003
United States,3/1/2021,76899987
United States,3/2/2021,78631601
United States,3/3/2021,80540474
United States,3/4/2021,82572848
United States,3/5/2021,85008094
United States,3/6/2021,87912323
United States,3/7/2021,90351750
United States,3/8/2021,92089852
United States,3/9/2021,93692598
United States,3/10/2021,95721290
United States,3/11/2021,98203893
United States,3/12/2021,101128005
United States,3/13/2021,105703501
United States,3/14/2021,107060274
United States,3/15/2021,109081860
United States,3/16/2021,110737856
United States,3/17/2021,113037627
United States,3/18/2021,115730008
United States,3/19/2021,118313818
United States,3/20/2021,121441497
United States,3/21/2021,124481412
United States,3/22/2021,126509736
United States,3/23/2021,128217029
United States,3/24/2021,130473853
United States,3/25/2021,133305295
United States,3/26/2021,136684688
United States,3/27/2021,140180735
United States,3/28/2021,143462691
United States,3/29/2021,145812835
United States,3/30/2021,147602345
United States,3/31/2021,150273292
United States,4/1/2021,153631404
United States,4/2/2021,157606463
United States,4/3/2021,161688422
United States,4/4/2021,165053746
United States,4/5/2021,167187795
United States,4/6/2021,168592075
United States,4/7/2021,171476655
United States,4/8/2021,174879716
United States,4/9/2021,178837781
United States,4/10/2021,183467709
United States,4/11/2021,187047131
